"","Treatment","Timepoint","Photo","gs","Fv.Fm.","Starch","NSC","SM..."
"194","WW",9,7.503483314,0.474679845,0.693859213,25.2661949664315,2.90702272352655,33.6
"195","WW",9,11.12217406,0.513257487,0.714223439,27.6916627356755,2.97748193161809,34.2
"196","WW",9,10.92557882,0.427914205,0.70830403,18.0038315345723,2.89307228034952,34.5
"197","WW",9,11.50323718,0.383937036,0.702990053,22.4234161116684,2.34174290017089,35.5
"198","WW",9,6.416168634,0.160119876,0.73306797,19.5070366320069,2.11877147847589,36.4
"199","WW",9,12.08523119,0.488291542,0.73766764,26.7556669480354,2.53948916396592,34.5
"200","WW",9,8.27033259,0.216670704,0.657006707,29.9571903464335,2.57018029122512,34.7
"201","WW",9,6.364488766,0.25114842,0.675468705,19.5867515802442,2.93559285502798,34.9
"202","WW",9,9.68322453,0.243711323,0.697056315,20.5367728034252,2.64450327200196,34.7
"203","WW",9,7.76340248,0.362980004,0.703543335,32.0278198550154,2.65861425488024,39.3
"204","WW",9,9.263136287,0.349377004,0.684664759,22.8671279485532,2.69147900481343,34.6
"205","Dry",9,6.099545382,0.288587794,0.666855041,20.7260431673961,3.17146564251341,26.9
"206","Dry",9,11.67400989,0.504109026,0.629142494,26.787863801897,2.91833646969114,25.9
"207","Dry",9,12.48425065,0.45283078,0.625426423,27.3862081022696,2.51888226820853,15.8
"208","Dry",9,11.09948152,0.504885215,0.697948681,29.7683019791279,2.06453587654454,17
"209","Dry",9,11.94277008,0.350051775,0.709726285,25.0227786729672,3.12143820163218,13.7
"210","Dry",9,10.52332969,0.172295547,0.700532753,26.9005209440762,2.46356535269558,15.6
"211","Dry",9,1.057442579,0.03267365,0.596733621,28.8240399884785,2.94430065805234,26.7306229622941
"212","Dry",9,7.351968028,0.382223086,0.593235454,23.7166836468982,2.95770182512738,19.7
"213","Dry",9,10.35079838,0.372816858,0.709712318,15.9262177350247,2.16650654385554,11.6
"214","Dry",9,11.01041955,0.39657616,0.726342608,31.0286813400062,2.94234327072386,18.8
"215","Dry",9,8.417757843,0.325466328,0.674343771,17.1640549411555,2.50537034928345,18.3
"216","Dry",9,10.40473319,0.33788602,0.714750232,31.5226885960749,3.10296862658408,10.7
"217","WW",10,9.652768438,0.395148723,0.685464787,34.57603777,4.21475039,27.5
"218","WW",10,10.34002475,0.407702035,0.715551746,32.39057729,3.923440596,32.9
"219","WW",10,11.29499067,0.44841616,0.732365053,42.74410637,3.78568835,37.3
"220","WW",10,9.952114609,0.378606587,0.721373647,47.40439145,4.079330699,47.2
"221","WW",10,5.616782928,0.273666777,0.678230162,40.76086957,3.256505738,46.5
"222","WW",10,6.072231641,0.350779972,0.623747566,26.86169087,3.923845074,43.2
"223","WW",10,10.34813882,0.355461553,0.708212158,30.65774805,3.512089195,31.8
"224","WW",10,11.50528233,0.573401976,0.725474238,35.29176858,3.952754302,35.6
"225","WW",10,10.07943314,0.4863713,0.689325167,51.40322815,3.712045617,38.5
"226","WW",10,9.995984793,0.38517747,0.728273732,23.35742799,3.700434672,32.1
"227","WW",10,10.28768926,0.302287831,0.715890024,37.13930155,3.416905858,35.1
"228","WW",10,10.44239407,0.237704795,0.674909299,18.61975817,3.021950049,32.1
"229","Dry",10,11.6152088,0.227128419,0.742130783,35.98668281,2.259231969,14.2
"230","Dry",10,10.46176266,0.354913409,0.70320959,38.36375489,2.277972306,18.6
"231","Dry",10,11.22334538,0.2975754,0.73089161,46.44067797,1.97815534,14.4
"232","Dry",10,9.649919447,0.409365465,0.69198433,22.26767972,1.901552161,14.1
"233","Dry",10,12.0886857,0.31875945,0.725097386,40.6779661,2.148655101,17.3
"234","Dry",10,11.29335955,0.379522914,0.689362352,23.09577292,2.161711165,18.5
"235","Dry",10,10.26306934,0.147938177,0.653711852,15.2064932,2.321766497,18.2
"236","Dry",10,6.552418969,0.166760115,0.606616255,18.77279554,2.296306872,12.8
